03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
91LK 2348,08 KY1323,07 KE39,06 OY9602,11WX5228,99 WH6128,07 OY9229,06 DL7649,
92 LK 1791,05 TN 581,03 LD242,94 CE 4664,93WD1954,92 LS 1589,11WX 8084,98 W2419,
04RN7784,04LK349,91 G 1004,91 W 3238,03 D 666,97 LD2814,10 D 9201,05LK1486,
01 KY2685,07L 1814,94MN7466,09 G 8943,98 LK8399,10SO196,98 TN 5377,94MO3780,
08SO 1615,08LK 6687,97MN 5423,08DL9645,09 WD 9309,10L 9961,99 G236,99LH 4758,
05 KK1417,01 TS 1819,10 RN4928,01MO817,00LM 797,06 LD7366,02WX 9476,96 WD 8044,
07MH2454,97CN8573,08 WW9073,90WX5734,10D 4779,03LK7701,95OY7377,93 TS 7289,
99 LM8455,91 LH8734,99 MN 8742,93 KE 4914,90OY 529,99 WH8154,09DL632,96LH 1891,
04 LK 2093,93 KY 1194,09 D6669,94KK9646,92CW 8049,12WH6012,06D4083,98 LH 2704,
11KY6498,99WD 6172,09LH6616,93 WX7041,09 CE3401,94 D 1221,04 G 5431,01 L6376,
98 SO5407,97W 6244,08KE5998,08 KK 6439,90LM9956,95CW3813,09L8478,09WX 9438,
02 LH7122,99 LK5919,99 SO 2771,09WD 9583,11CE2007,12 LK 9199,08 WH 6985,05MN5782,
02 WH 10000,91 D4023,11 MN9901,09 WD 9443,08RN 9670,93 MN6848,98 WH3712,03LD3667,
95G9654,06KK5672,99 KY 3240,10LK 5057,96KE6561,09LM347,09 WD 1705,94 TN 872,
98 KK563,11LD 3055,99CE 1120,99KE 2283,00WX 4143,05 W 9356,11CN 7412,06 CN 9143,
95 MH7282,07 LD 6814,03WH6501,09 OY 2844,09W 9225,94 L6481,95 LH7685,03 LH 1562,
11 LK2966,94 MO2266,96 TN4977,12C 6551,08 KE 3546,11 LD4532,03MO 5248,07 WH 8955,
01 RN 5375,05LH 7224,01 TS 4469,02 D4075,09MH6888,01 G2221,92CN 9692,09L4011,
93 RN3078,95 LD 688,96G 4924,02 CE 165,05MH7667,98 C 8774,95 SO 3586,97DL4192,
94 LM 7044,01 W4135,96LH8839,04WH 9685,00LM 7443,02CE491,99MO5745,12 RN 7118,
94 G 5310,92 KE 9709,07CN 5931,98WD1367,11 MO 8299,97D 4727,91CW 6255,03 WX 4526,
07LM927,95RN2024,99MO7776,99 LS 6632,12 TS 4530,04 WH 9343,98W 306,09LK3440,
92WH5883,92 KY 2864,02KK 732,05CN 3407,02 WD 2593,01CE8105,00CE409,98 OY5711,
96 CN6189,08 G 541,91 CW 7964,04LM 7274,94LS5754,98CW 5047,91 L 9068,07MN 9516,
05LH5829,07 LK 8148,05 MN3916,05 MH4875,99 KY 2395,90 WX 3313,00LM6487,90CN 8994,
99RN 9766,00 LS 7484,98G7000,06 LK6919,95MO9391,99RN6475,06 KE 351,06 LS 616,
07 MH8711,01MO 7895,90MH8882,10MN 708,98G4559,00LM 2847,10RN 7291,96L7439,
03L 825,01 MH 1805,09 L1141,08 G4533,11RN 4556,93D5782,93DL8082,99LH4888,
94W8078,98 MH 1173,03LS 2635,92 LS8852,91TN 7235,01 LS5493,92KY 1142,92 SO 4163,
07 WD7445,07 KE 1658,02MO 3407,02 OY1612,91 WX9857,92LH 368,01WD1404,95 TS 1943,
11 MN 9635,09 W3729,03OY 3432,03 LM7598,99 CN7133,10KY 8312,92 SO 4153,92 G7493,
00 LS 547,11G2490,04 TN7031,99WX 4221,97G5524,09 CE1129,97LD 5858,11WX826,
98KE 3154,98LM475,05 LS6289,03 LH8573,93DL2761,94 W7410,05CN 6606,92LD 8031,
94KE18,98DL 165,94 MO9261,00 WX3198,93 MO4011,03MH 2004,01 KK 1189,92D2424,
91WH9098,04MH5500,12 CW1335,02 LD 400,01 CW 8649,10 RN2501,04 LM8418,00 DL2635,
99MO 8094,01 D4126,90W 516,02LH 7515,01 WX 4079,95CW 5804,01 G 740,96OY 1275,
90 LD 4981,04KK 4642,04MN12,07TS 8016,07 CW5540,01DL256,98CE 8717,98 CW314,
09KK4949,99 W 5609,11 D 3887,95 G5814,05LM 3355,06 KK1335,91CN7453,00CE 1797,
12LD6448,05 MH 5576,06 D 4138,94 TN 2672,97 D1560,01G 1448,08KE4521,12 L5038,
97RN 1514,05 CE 5877,99TS2,11 D 1092,96CE 4362,12D 6802,99 LD1474,97RN 3926,
91DL8088,01 C461,09KE2811,99 CW7566,05 D9367,05 LS6878,01MH3509,97 WX462,
02CN 4526,07KK 9510,05MN2228,09 G3568,94 TN 9032,07MN4514,03SO 4348,01 RN 3177,
91KY8970,98 OY6110,95 CW2169,96WH4175,95 LH 4276,96KK7095,07OY 5907,91 KE1559,
91CE 8808,90 L7721,93 CN 7239,95KY6701,00WD6698,12TS 1871,91WD4833,06 LD 108,
03 CE7901,07WW 6713,06 LH 3005,97LD4221,07 W 8358,99LH 901,07CE464,02 MH8176,
11 SO 1764,10G6722,92 DL5921,11 CN 1375,96 CW550,01CN3636,91LK 1300,91CE 4205,
11 RN3421,03 KY 4088,02RN 1226,03 LH 2323,92 D5518,99L 7648,96 WX9535,97LH5500,
95 TN 5106,98 OY 6121,97 LH 9638,94LS3251,94CW 7577,11 LH508,06WH 5744,91SO7180,
96 MN 3516,02 LH 475,08 LD6168,10MH4297,03 TS2549,94OY8326,00RN 8267,99SO 6430,
07 G8812,08LK 2360,96KY6852,10 OY8282,11TS 6992,95LD 8969,95 KE4392,05 WW684,
05G62,10 TN 8874,08MO 1765,94L 6135,07LD1159,09L438,90 WH2880,91 LH881,
94 SO2308,05 KE 2197,94CN 5082,99CW1390,11CW2115,11RN7439,05D 9915,01SO3426,
07LM2990,90OY5914,05 LD5562,11 L8633,99KY5983,98KE 1655,96KK3057,07LD6981,
06WX7868,03 TN1220,07 W3228,11 LD 3305,11 LM750,97LM3697,01L241,11 WW2722,
02CN 9188,03KY2266,98MO 591,98RN2697,99 C 3567,10 D7280,00 LM3431,00RN9202,
94MH 1255,05CW2405,02 LD 9237,96KK 580,03 L9027,04WH 8610,07 G 8964,06 WW 5443,
04SO1120,96MO5592,05 MO5083,97 TN299,08MO7319,10L6487,10 LH9177,04C 8391,
93MN4578,09 WD9707,97TS 8132,92 DL3751,99 OY 3734,04 CW 1148,07W 2371,94TS 3382,
09 LH 171,90WH 1039,08LS 5049,06TS6109,94 CE3459,04 LS 2345,05LK700,95KE 8719,
90WX 6380,05 WH 1705,05 D 5375,10CN 8681,98SO 8104,02LS9672,11MN 8043,95 OY 8038,
05 RN9727,92LS 4261,02 OY 4697,98WX4791,09LH 2917,95KE645,05 LD 2430,94W6547,
95 WH 3952,09MN259,08WD 600,97SO 6055,06 RN 6104,08MN 4538,03LK93,09 MO9812,
06 TS2980,04 WW1996,06MO 9711,01KE8948,97G4238,96 C2506,06G718,99WD6202,
07 LH 2872,01 LM 9238,92CW 6681,08TN 4036,09 DL177,97LD 6964,92 LK5966,99TN 6619,
01 DL445,06 MO 5163,92W8379,97WH 2751,08 LK2437,92 LS5774,92 KY5827,93W7672,
98WH 8769,97 L 8265,02CE 9171,93 KE9104,91 D7479,07LM 9204,03WH9879,91G 6903,
00 WX 2225,98LD 9516,93MN5567,91W 6217,97TN 8845,07 MH 210,94CW 3038,00LD1209,
08W 6325,06 LS 6504,95RN 1072,93 OY40,01 KK9585,08KE1004,07 WW 7835,03 L2087,
91 CW 9990,03 TN8827,05DL 4554,10WW5160,08LS6934,93 LM 1463,01 LK7840,00 MH 3849,
12 MH485,10CW1497,97LD 7966,95SO76,94 G669,07 D 7342,95CE 9247,97OY 3417,
99RN3685,04 TS 5607,03 CE 1712,07 DL1803,02LM 9102,91 C 8837,07WD240,05LD2850,
90 W 4907,93 CE 8026,05WX 8506,11 TS 2225,06WD9158,92LD2473,92WH171,04 KY 8229,
06MO7961,03LS4372,01 KE9036,00WW1050,95 LH9457,00G 1848,11RN 3156,04LH 1035,
91 CN2640,91 CN2027,98D 5241,05 MH2757,04 LK7883,04 WH5240,07 LM3127,03WX637,
90LK3342,00 LD 2447,99 WD9537,91 W 7431,04 CW 7558,91 RN562,99 LD 9929,03 WH9057,
96WH 4013,01 CN 4531,11 RN806,91KE 7846,96CE7676,95KK700,05 DL 8534,00 KY1613,
08RN 7108,09W 3301,92RN 469,07DL7703,05TS8142,97 TN 4729,93 LK 5926,02DL9577,
05 LH 6770,99 KE 654,94G 4458,10 KK8384,02WH9465,12 C 3015,97WH 2743,04G3509,
04MH8913,12L7437,91 TS9421,04 OY 4121,12MN1833,93WH 6709,01 LD9242,97 WH 8352,
99CW3420,03MN8620,06DL3965,02 KK 7953,03 SO9842,04CW 4651,10CN 7659,10CE 3973,
06 MH 6125,90KY5803,05 MN 8260,90 C3364,91 LH1808,95 KK 3178,93 SO 5518,94LM 7238,
09 WW 813,97 MN 3828,03 MH 7845,03 L 8966,02CE5101,10 WX 6854,97 MH6990,05WD 4286,
03 CW3889,90 DL755,12 SO 9917,00LH6139,99KK1466,10CN627,95 W 1844,91 WW 4112,
10 TS 6950,98LS 2949,12MN2964,99 G 1974,09WD 8757,91WD 6417,09L4073,91KK 7112,
00MO 4929,97C9551,90KK 3031,12LS2438,11 KK8049,01 W9651,02 L4772,92LD4703,
93 LH16,90G3074,97 DL 2467,90WX 3122,99OY 7546,09W 3744,97 WX 6315,05 KE8665,
93WH 4060,95C5394,00 WD9442,07 L 7458,92RN7260,92 D3034,06LD7432,06 RN 1338,
01WH4631,01CN 892,00KK 9086,99 KE 4794,09 KE 890,93 L 7193,02 TS1231,00CE 287,
02 TS 2443,96 CN 1000,04L 9543,98 MH3200,96TS 3840,01LK2603,09 MO 746,08 W 3603,
97CW 345,96TS 6912,98D8781,98 W 4401,09 D 8847,12 LS 8714,08 OY 9084,09L4437,
91 WW6553,09WH 9719,08 WH469,91SO709,91WH 3132,09W9893,03WX3740,02 WD5921,
00 C7343,91 LH 9722,03 MO 9735,91LM 6339,97 WX 3541,94 LS 5773,99 CW 7134,12 D 105,
94 OY6881,98 LD9187,97CN 2149,06SO7999,11 DL 8620,07WX5592,93 D7971,01 SO7035,
99L4392,96LH 5288,97CE 1710,06OY 2121,12 WX9056,92 CN 4567,01WH 471,91WD 2623,
00SO 1365,06CN 2516,90 KE 6209,06MO8633,95G447,92LK 2767,02 TS1039,11CW6414,
98 CN3993,02 TS6287,00WW743,96OY 3653,01C 4823,99 KK 9528,99 MN 4466,05 LS 2912,
99KE 8532,97 LS 2030,90 TN 2723,92G 5964,95 CN 9897,90 DL8896,07TN4207,12LK2573,
06G 9784,05 MO6490,92 LD4201,10LM 4695,93LD7461,10 RN4117,02TN3821,04MO1120,
01CN5394,99 LS533,96 W 9813,11CN8046,04 OY 4876,96 KK 1677,00 MH 9134,02 OY8295,
96KY 1157,94 D 5174,90 WX1187,08DL5475,11G 6124,08 LH7901,07RN 3212,06MN9691,
04 WX 5039,92 W5123,02 SO1109,01 TS8207,08 MN1342,96 LH3624,07CW8688,91SO 7789,
03 LM95,12 LK6578,03RN3292,09 SO5464,02MH6296,95 RN4928,01RN 4542,94WH 843,
07CN 8976,01MH8538,91 CE 6050,01 KE6284,91 LK 5737,97 CW 469,04 W6878,01SO737,
08DL 5250,97 WX 9394,06 MN 706,94 MN 9325,99KY7083,91 MH8386,03LS 5791,93 CN3453,
11MH 9186,03D3044,93D8050,91SO5527,07 LS 3379,08L8325,11 WH 2878,04 DL8273,
90 WW8241,98G 1304,96 LS 8675,10SO1021,04MO6969,10 SO6549,92WH6471,02L4368,
03MN 4915,00LS 1863,94RN5502,03D163,99 WX 7838,10 KE 4673,01 TS 4160,94 MH5873,
07 SO 7178,93 LS3548,97 OY9314,08LK 1083,01G 3058,11TN5019,91 G 4679,98MO9123,
97SO9180,03 CE 3142,12LK639,92CW 8621,92 LH6287,04 RN 8101,04C 3721,93LH 8147,
98MO 2409,94 W537,92 MH 3766,11 LM2049,06 KE 8781,00 LD249,01 MH756,91CW7073,
11 MH16,00 D1454,03SO 1252,01 LH 7433,92 KY5828,07LM 1866,08 DL6417,92G567,
11 G 9499,08 CE9503,04WW9715,99 SO7063,06 TS 5095,08CN9360,02LM 2539,11KK 5942,
08OY1434,02CN1844,06W 249,03W 784,90 TS 5796,10MN 6217,06 KK 9395,03CN3083,
11OY4443,97LM 5188,02 OY9258,11WX6643,90 LD 145,95W 1252,05 MH7229,94W784,
92WD9120,04CW1417,05OY8073,10LK 735,11LH 1039,05 MN4530,95LD 1631,04 KK678,
10WH 6081,02RN4570,99 G 2115,05LK8602,08OY2406,97LH3986,01MH 4845,92 OY 2356,
02WH 5850,92WW 3453,99D2974,11CE 3111,95 RN 1177,10 CW 8214,96 D7563,00MN 5819,
02G 770,01DL6632,95LD 9199,05 RN 6148,94KY 2309,91 D3479,91 KE 8289,96 MO 9911,
93 KY 1638,02 WW9073,01LK4121,08MO 4050,11 SO832,10LS5418,97 CN 9832,91 KE7832,
02G4257,95 CN2170,11 TS1538,09OY 9134,98G7330,98 TS8469,11 OY 5011,05 WD 3403,
11 MN3604,99WH1442,99MO2576,07KE2213,02WD5840,09TS8519,03 TS 6124,91 OY4185,
01 SO5797,10 MH8633,00CW9545,05 G 3484,93 RN5574,03DL6780,03TN 5274,03LM 100,
93WH 580,01 WW7501,11WH5118,02W 1665,07 TS443,93MO 5409,10RN 5103,96LS8686,
99 WX9487,91 LK5015,08 KK 7642,00LK3772,95CW2812,04TS7870,08W 2019,93G 617,
99 TS 7426,94L 2258,10 MN5914,95 KY 412,07 LH 437,08 WD9557,94LS6466,90LM 1608,
00 L 7827,12 OY 1770,12 MH 9232,05 W3976,05 KY8018,98 LH6671,09CW 7338,00 OY 9365,
93 LH 4092,12RN 592,95 W1048,94 MO9614,09 MO7330,95SO3875,93 MH 77,99 KE6698,
00WW2516,01KK778,96OY7031,91 LH1387,95 W2367,10 CE 3720,10CW 542,99LD 4410,
91CW4387,05 TN1620,03 OY 891,99 KE 8449,09KE 8445,02 KK 3362,93DL9218,01OY139,
96 MH 7460,04 CE 352,00KK3738,08MN 8686,12MO 6714,11 MO 6571,01 G2832,94LS1742,
06 CW 9489,02KE590,01 WH5340,90 TS 9647,05 MH8019,00 KY 1541,95 C 2940,01 DL6389,
95 C 9027,08MO268,07 DL8071,93 KK 9189,07 MN2555,08CN7508,08 L3574,91 CN8969,
09MO1179,06 CW3315,92 RN 6889,91 LK 693,91D 4271,11CW 5688,12CN2503,98CE 5966,
94 L8506,06LM 1853,02 LK1146,08MO246,06TS 1454,95WD 2537,10KY3176,97 LH 3420,
07MO 9788,95LD8148,10 LK6565,98 D5677,12 L 7447,90 CW 5844,08RN6936,12 OY121,
11OY 1810,92 G8101,01KK8204,94SO9810,11LD 7952,10 TN6669,01KK 7558,00LD 9652,
10 DL 1899,08C 499,03 SO7711,97 DL2837,07WD3845,04 LM2622,92 CN2686,02C 7437,
91 CW1394,93LD 8830,07CE708,05LS 1179,12 CE962,92WD 500,93 MH9239,94 MN1392,
93 RN 2739,98KK4878,07MN 2620,08 TN 2734,11LD 810,06CN 8796,00 MH2369,96CW7351,
92WD 5407,98 L5880,12 TS3764,01 TN879,07L 8618,90MN 3068,01 TS 10,08 WX2872,
94LH 8333,00 LM 9496,04LK 7020,98DL 2114,96RN 7714,11 LS 9691,97 TN 7630,08CN5569,
94 LD 9071,99LH 3349,98G3916,06 KK4737,11W 1627,02 LK 6006,94 WH 218,06WD4594,
96CN2359,00 G8391,91 TS7417,94 D 8423,09LD7906,11 KY7347,97LM 1099,05LK6413,
94LK 3280,99 LS7865,98 MH2285,04RN 7101,10 LS 71,03 G3986,12KE 9646,09 WX8497,
12TS2741,96 G6097,98LK6278,99 OY 9993,09WD6641,03DL 3482,10KY2447,10 LS 7072,
91LK 5427,96 MN 3905,97SO 8056,07D8230,97 CW 8710,00 KK 6446,95 L5006,01G7548,
96SO2967,95 RN 9854,91 LD 78,02 TS 6884,96 C 9985,09 MO6243,95TS3551,94 DL8774,
06 TS7465,93 SO9143,00 WX7325,98 DL 4846,94LD5750,04L5611,04 LS 9012,91RN 4740,
01 LD3134,02CW 4356,03KE5185,03MO7393,93 TS9698,00 L 5742,03W 7749,02DL9866,
01KE 6187,95 RN4850,90 DL2284,96 CW 8853,99 SO 79,95CE5798,05 D6081,11 CN6507,
08 TN5716,96RN4036,01MH 6615,04G 5236,08CN 9091,08WD 3389,09 LD8212,97 KY5810,
03KE732,08TS6312,01WH 5774,10 W 9220,10LK 1998,07 CW9017,00 MH 9609,11 D5552,
03 TN1065,03KE7892,02 KK 4619,09 D2379,08CE4864,09WW 9999,12WW 402,11CW 1096,
96 MN2327,94KK8314,03 LM6179,05CE2021,96D2415,00MN1857,01LK 5875,91LD 8091,
90 MN7628,02 KE 1856,03 LH 4133,96 TS2542,05SO 9911,93 CE7710,99 LM 3638,98W8065,
99CE 1241,93 CE643,04 L7672,07 MH 3650,11KE5522,94KY 8657,97L9520,90 TS 513,
11TN1906,00 L3689,08 CE 2077,95CW 370,95 SO2117,03 LK 668,92 TN6772,04 OY 7650,
98 TN 5980,96 CN8633,93 WX817,96 TS2191,91MO9943,05 MN 5977,93LD5652,09 LK 440,
06 LM3123,99KK 5432,01MO 7505,95 D1257,00DL4116,91 CW 9514,90WH 2950,97 KK7027,
98 KK9700,10 TN 3761,98 KK8518,03 TS1960,01WH 3370,99 D 3345,10 MO 3535,98 DL 7225,
99 WW7634,96 WD 8387,93TN9609,96 G6847,09LK9034,10MH 4661,98 MO 8487,01 LS 9180,
94CN8848,10L9267,03KK2328,98 D 6201,07 DL 5653,02D 5305,99 WX 6888,08 L6844,
09LM8054,04RN5633,95TN 8571,97WD 1189,10KE7209,09MH 3351,92WD840,90 MH 9389,
96LK9030,03 G5821,96 WH 4092,93G 2957,03LK 5397,95WD 9744,11 KK5782,11 TN6209,
99 LM2116,98WH7092,95KK4267,02DL 2559,97 WX 8884,07CW5507,05 RN680,05 KK3618,
00SO 3107,96RN 2228,97OY7966,98WD 9094,94 KK5011,97WX 7517,98LM 5144,10 LD 1898,
93KK 6247,95 LM 2124,99LS7825,09 CW5949,09MN 7875,00 WD3375,99 LM 3071,99CN3824,
06TS6513,01WD6173,90 KY7763,10 MH7504,98LH 9242,97 LH 8353,93 W 4853,94D8291,
10LH8887,06WH 4667,06 TS1036,09CW 1220,95 LD 1226,04 LK9952,06 LD2745,94 KK5187,
07LK 4810,09 CW 2,04WW 4671,93 LM 2453,09 LS 2191,01LM 8056,95 LK6446,93 WH135,
91LH 8520,01 SO 5915,02 LS8604,09WD 1911,97CW9820,91 LS 1207,03 SO8480,97 CW 243,
04 L 8456,06D6544,11 W308,00WX8108,96LS 7792,09L1993,90 DL1427,94LS 4499,
02TS 1439,11KE 9533,05 LK 8273,96 KE 9723,09 TN4999,95TN 7080,07 KK1588,12LK4931,
95 LD9808,97CE 9973,11WH 135,94CN 5224,07 MN 8786,05 TN 9866,03C6162,00LK 7173,
93CN 4230,03TS 4413,05 CW 3776,96DL 9661,95CW6121,11OY 6291,08 CW 3483,90LD1569,
98SO7350,91KK6709,93LM 2222,03 WW993,06CW 9155,07 RN6789,02MO 8400,94DL8452,
07 OY5998,98CN 9968,91MN 5656,03C841,00OY 4127,98 WX9915,97CW 7379,01 MH3723,
96 KK 2147,04 CE 1351,03 TN6362,95RN7054,08 MH 5040,00OY 5630,09KK 375,04 W 3359,
95LM 5299,94WX 8967,04 TS 4931,04TS7959,08LS6067,91 CW 8763,91 TS9067,03CN8005,
09 WH1525,94 L 2663,03 TN 8537,95OY682,04DL9134,09 CE5665,00 D 3516,95 SO1258,
03RN6815,92 MO2907,04W 4613,91WX8430,98CN 5607,04 KE9542,99 CW 1806,12 SO7783,
04D4979,01MH 4586,97CW 5739,07 MO4116,09LD 3556,99LD 2506,08 WH9763,10 WX9906,
97LK 2748,98KY4921,07KK 4073,90 TS 188,91RN 4513,91 KY4810,11LM306,95 MH 3799,
10KY7309,98WD 7297,09LK 6135,93D 7080,08 LD 6193,96KE4323,94 SO 4484,10WX8899,
95LM 3942,08RN 5237,95WH1267,97 LM 5142,08MH109,11 WX1713,09MN 8822,91 G 6703,
97 LM3975,06TS 3302,95 CN 9594,97 WW 7441,08 LD 5526,93 MH 9361,07LS5981,08 L 7543,
02WX5732,08 MO 4158,95 LD 7804,03 CW 3313,98 WD 3716,96 MO4524,05OY 8348,05G6510,
90 CN3689,10 CN3573,09CE3559,90 SO5052,10 LH 8930,99G9733,08 LS 6615,10 LK2133,
99WW3519,99D7600,02 WW1874,01LS2619,07 W 5066,91 LH 5956,11SO7904,99 KE3956,
98D 3227,99 CN 8716,96LS9267,99CE 3747,92W 9448,03 TN 6513,01LD526,07L7650,
95KY3072,93WH153,92 RN 4018,03 D9333,06MO7688,05D2274,97 OY 4933,93OY8781,
99RN9466,99 CW 193,06 WH 3332,12 OY 6502,95 MO 6048,11 LH1117,02 KY2944,09 D 8876,
01 TS 556,93WX 691,99 KE761,10CW 4206,09 KY278,11 CN 7191,97 OY 9797,04 LD9918,
01L 3658,10D6562,05TN 9668,98WD8768,96LH 2348,09 L 7962,09CN6122,02L5908,
99LS7286,09 RN5518,12 KE1088,01CW 9242,05OY9038,08CW9559,97C 9378,05WH 2603,
10WW 2915,06WH9778,98MH6771,94 KY 4956,97WH8824,11W3436,91 KE6854,04 KY 9104,
93 MN4215,10LH4054,92MO771,99CW 155,11CE6001,93 DL 9842,90W 4773,09C 7387,
10 D3934,91DL 6517,94 LK5348,09CN 3092,12LK 3497,11 LD6129,00 L 600,10LH8433,
05LH 1130,09 D 2056,08 DL9555,08 KY 9474,09 WH 8320,04MH 379,97MO8094,11 DL 6081,
99TS 3941,06WD9542,04 CE1299,05 LD2638,96 TS6083,03CN 3379,01 CN7211,06OY 2241,
94 WD5598,08LM7384,07 WX 6193,02 KY5327,05 TS 3547,92KK4443,11 LK 3378,02W9595,
07 MH3866,93MO4120,10 LS9054,92MN477,93 CE 639,91CW9089,00D 3264,09CE429,
04CW 6620,92 RN 3304,95 DL 6324,00LM870,91TN 5877,90DL 9082,08 TS6579,01LM2706,
94 TN8739,10 CE4459,01 LH260,97TS 54,04 TS1665,05RN7845,99 WX 5984,05WW 7050,
01 LM 8024,09 RN 4326,04CE8212,06L 9400,92WD 8376,95LD 6753,01 LH9686,10 LD 731,
05WH 323,97LK5201,91MH2807,06 L 8693,98 LM8702,06DL 314,10 DL 3781,05 CE7318,
90D6575,01WX9587,10RN1341,06CW122,04W 6185,05KK 740,11TS3921,92G 3119,
07 RN6955,97 LS2944,04KY5233,07 LD 8069,01 CN4396,10CW 4933,95LK 8376,96 L 4030,
04LD9817,94 MO8770,03LH2842,05 LK 9574,94 KY5695,09C9367,96 LD7052,99LS8954,
06MN5637,94 TN 2804,92MH 1453,09LD2849,02 KK 1032,09 TN 900,91G 3546,06D 8397,
91OY8643,94MN5563,97 SO6793,91 TN 3736,99 LH4705,96KE 4000,00LH 9803,12 TS 9378,
10 KK1336,11 WD5023,96MH853,98KE 2492,03DL 562,92 CW7426,01 WX5449,06MH 305,
95G 9586,95 MN 3655,11 WW 1363,11 TN5774,10WW8551,04 SO 5829,98 WX6363,96MH1918,
04 CN 8515,04 L6607,94 RN8735,98 TS1219,09 SO3096,94L 4312,94 LD 9568,11KE2969,
12CW 1842,06TS274,08OY 8795,09 DL4482,00W 7220,98 CN 6451,08 CW 4003,98CE 1734,
08LK9897,93LS3011,12D2114,01TN 1147,90LH 8876,01 LH 8779,92W 9249,10 WX 7019,
05 TN 4011,95 TS2263,08 DL 3268,96 TS 8356,10WH 8428,94 WX7237,04LH6787,04MN 4780,
94WH7444,94 TS 4852,10 KY 5857,91WD3578,10 LM 8720,09D3617,99CE 842,98LH8989,
05 OY 5582,93 TN 9692,04 LK 1578,99 L 356,97MO 1689,03DL 2484,91TS8395,08L 7882,
08 LS575,95 D 4679,94 L 4192,03 TN3463,91 WX7953,10 W 1603,90MN440,11 CW 9226,
99KY8122,96D 2020,92 CW1699,95 CE 8313,98MN8344,04RN 1362,03LH 9031,08 W 724,
01MH6599,10WD 8761,93L 2546,91CN 2026,94C8800,00LH1218,10 DL7226,05 W 4210,
05TN1212,01LS1774,05CN4177,99MH 6023,09CN2587,07 MN3650,92 C1455,94LD4748,
08SO 8386,06OY 8934,06 LM4757,01TS 2549,11 LM 6275,99 CE 8652,04MN8420,99 CE 8286,
97 D8088,92 WW 796,95D1385,92 CE 9979,91MH 8444,95 CN 4255,06 G 1089,05 L 3977,
99TN 4254,98 RN 9469,92 CW618,92 OY 4325,03 CE2525,09MN1094,98CE 823,98D 9819,
92TS 6039,96W4003,06 CE 9624,98L 6787,01 CE 7752,95KE1527,12 OY5256,07WH2741,
06LD 5087,01MH 3992,98 LK8787,90 WX9773,05L 4667,04 KE 6314,04 LH3962,97 TS6754,
91 LS6495,01LM 5702,95TS 9082,98LS 6235,08LS4097,12 LD4359,93 RN 6491,90 CW5326,
97MN 3686,03TS7439,08RN42,98 MO9722,03 WX 1095,12 WW3534,05KE 9848,96TS6590,
91 G 9874,07WX 3442,11 LS 6636,99 WX5034,02 C7735,95LS3078,94WH4977,05WH 2530,
98LS 1332,93W 8047,92LM 5884,90 LS1848,08DL1263,05 RN590,99KY4326,00WX 5775,
11 TN133,09G 4392,97RN6514,04RN6213,91 KK6493,09KY 9121,06KY 5064,01D137,
04 SO6588,06WX 4392,08 MN 7503,03 LM 7286,94TN3947,95KE2375,06LH5019,08 G 3512,
99 MO4057,04OY9281,07L 3804,03 TS9192,94 LH 7639,02CN 8511,11 LM903,92 WH4305,
93LS1328,07 CW 2452,94 CE86,97 G 403,93 MO8981,93 W5584,95CN897,96MO4975,
95WD 275,91KK8855,06 SO5812,92LK5502,05 LS5736,97 LK4104,06MH6174,07 DL8868,
02 WX 8976,11 LD7727,91 OY 7472,92RN6731,99SO7473,98SO 4736,09G8420,07 LM 8945,
01 MO2992,94LD7887,01LM6282,08 KY5187,95DL1468,01D 1645,90D 2923,04 OY 9551,
08MH9997,94WX 7384,12 LD2181,96 TN 4071,10C 5492,90CE4491,06WH 9307,02 MH4856,
95 W5464,96TN1722,91W 7452,01OY 8853,11CW6442,99 TN4595,07KE 4486,06 D97,
03MO 9592,03 LS 7448,10WH5764,03 WX 1752,11 WX6240,08MH 3257,93 KE4887,01WH 4256,
12 KE8182,10 D354,11TN 4978,07 CE396,03LS 8972,96 MH 2765,08 CN 7535,96W 5311,
00 MO2635,08MH 29,98CN4528,94KK 3065,07 TS 5690,96LK3081,97TS 2064,06MN1685,
08TS 6796,02TN 5057,92 OY 696,96 TN5383,98 KY5833,95CE9720,09 SO8209,07KK6024,
92 WH 822,99KK 5587,07KK5603,03 DL 5851,93LM 6711,10KY834,12 MO5879,92LD9961,
92DL 4760,03 WH2544,00 MO8242,05C103,00W 4996,95 MN 3990,02 CN 7351,97 L 957,
04KY7063,01 RN5244,93 LM 8362,99DL 6260,08 KE 6662,07 KK 5682,10WD3676,95 LD 4889,
05CE5702,93 W1665,11LS6529,96 KK 6281,07SO4335,97 LH9054,07MO 9854,92 LS 506,
01W2092,98OY 8124,05SO 6192,04LS671,93 RN 3468,02MH 7853,94MN5863,91DL 4372,
93WX 525,05DL 7647,91 L6059,11 DL 6453,96 LD 1320,04RN 7129,06WW 3095,02MH7450,
97 LK8296,10MO 8741,09 LD3617,98 LM 773,07 G5163,07 CE3677,96L 8282,94 G 6948,
05 LH 4230,01 MH8879,02 SO 3105,11DL 5013,00 WX8671,06MO 1733,04LD9482,03 LS9558,
10 W5788,97 LM9418,10 MO3772,04 L6820,94L 7927,95 KE1933,93 KE1181,07CW 4734,
